"model","AUC","MCR","Brier","BSS"
"random_forest",0.795677361853832,0.308724832214765,0.094446711409396,0.0655920499108736
"xgboost",0.794563279857397,0.25503355704698,0.119080784170119,-0.17812499525883
"knn",0.783199643493761,0.315436241610738,0.0979865771812081,0.0305704099821749
"pruned_tree",0.762254901960784,0.389261744966443,0.087587673831813,0.133451895392121
"logistic",0.70632798573975,0.38255033557047,0.107483126816056,-0.0633836445825597
"tree",0.643048128342246,0.281879194630872,0.103047999625168,-0.0195047413896396
